Rank,Player,Pos,Team(s) played for (years)[b],Total points,Games  played,Points  per game[c],Field goalsmade,Three-pointfield goalsmade[d],Free  throws made
1,Kareem Abdul-Jabbar*,C,Milwaukee Bucks (1969–1975)Los Angeles Lakers (1975–1989),"38,387","1,560",24.6,"15,837",1,"6,712"
2,Karl Malone*,PF,Utah Jazz (1985–2003)Los Angeles Lakers (2003–2004),"36,928","1,476",25.0,"13,528",85,"9,787"
3,LeBron James^,SF,"Cleveland Cavaliers (2003–2010, 2014–2018)Miami Heat (2010–2014)Los Angeles Lakers (2018–present)","35,704","1,323",27.0,"13,031","2,015","7,627"
4,Kobe Bryant*,SG,Los Angeles Lakers (1996–2016),"33,643","1,346",25.0,"11,719","1,827","8,378"
5,Michael Jordan*,SG,"Chicago Bulls (1984–1993, 1995–1998)Washington Wizards (2001–2003)","32,292","1,072",30.1,"12,192",581,"7,327"
6,Dirk Nowitzki†,PF/C,Dallas Mavericks (1998–2019),"31,560","1,522",20.7,"11,169","1,982","7,240"
7,Wilt Chamberlain*,C,Philadelphia/San Francisco Warriors (1959–1965)Philadelphia 76ers (1965–1968)Los Angeles Lakers (1968–1973),"31,419","1,045",30.1,"12,681",n/a,"6,057"
8,Shaquille O'Neal*,C,Orlando Magic (1992–1996)Los Angeles Lakers (1996–2004)Miami Heat (2004–2008)Phoenix Suns (2008–2009)Cleveland Cavaliers (2009–2010)Boston Celtics (2010–2011),"28,596","1,207",23.7,"11,330",1,"5,935"
9,Carmelo Anthony^,SF,Denver Nuggets (2003–2011)New York Knicks (2011–2017)Oklahoma City Thunder (2017–2018)Houston Rockets (2018)Portland Trail Blazers (2019–2021)Los Angeles Lakers (2021–present),"27,722","1,216",22.8,"9,920","1,645","6,237"
10,Moses Malone*,C,"Buffalo Braves (1976)Houston Rockets (1976–1982)Philadelphia 76ers (1982–1986, 1993–1994)Washington Bullets (1986–1988)Atlanta Hawks (1988–1991)Milwaukee Bucks (1991–1993)San Antonio Spurs (1994–1995)","27,409","1,329",20.6,"9,435",8,"8,531"
11,Elvin Hayes*,PF/C,"San Diego/Houston Rockets (1968–1972, 1981–1984)Baltimore/Capital/Washington Bullets (1972–1981)","27,313","1,303",21.0,"10,976",5,"5,356"
12,Hakeem Olajuwon*,C,Houston Rockets (1984–2001)Toronto Raptors (2001–2002),"26,946","1,238",21.8,"10,749",25,"5,423"
13,Oscar Robertson*,PG,Cincinnati Royals (1960–1970)Milwaukee Bucks (1970–1974),"26,710","1,040",25.7,"9,508",n/a,"7,694"
14,Dominique Wilkins*,SF,Atlanta Hawks (1982–1994)Los Angeles Clippers (1994)Boston Celtics (1994–1995)San Antonio Spurs (1996–1997)Orlando Magic (1999),"26,668","1,074",24.8,"9,963",711,"6,031"
15,Tim Duncan*,PF/C,San Antonio Spurs (1997–2016),"26,496","1,392",19.0,"10,285",30,"5,896"
16,Paul Pierce*,SF/SG,Boston Celtics (1999–2013)Brooklyn Nets (2013–2014)Washington Wizards (2014–2015)Los Angeles Clippers (2015–2017),"26,397","1,343",19.7,"8,668","2,143","6,918"
17,John Havlicek*,SF/SG,Boston Celtics (1962–1978),"26,395","1,270",20.8,"10,513",n/a,"5,369"
18,Kevin Garnett*,PF/C,"Minnesota Timberwolves (1995–2007, 2015–2016)Boston Celtics (2007–2013)Brooklyn Nets (2013–2015)","26,071","1,462",17.8,"10,505",174,"4,887"
19,Vince Carter†,SG/SF,Toronto Raptors (1999–2004)New Jersey Nets (2004–2009)Orlando Magic (2009–2010)Phoenix Suns (2010–2011)Dallas Mavericks (2011–2014)Memphis Grizzlies (2014–2017)Sacramento Kings (2017–2018)Atlanta Hawks (2018–2020),"25,728","1,541",16.7,"9,293","2,290","4,852"
20,Alex English*,SF,Milwaukee Bucks (1976–1978)Indiana Pacers (1978–1980)Denver Nuggets (1980–1990)Dallas Mavericks (1990–1991),"25,613","1,193",21.5,"10,659",18,"4,277"
21,Reggie Miller*,SG,Indiana Pacers (1987–2005),"25,279","1,389",18.2,"8,241","2,560","6,237"
22,Jerry West*,PG/SG,Los Angeles Lakers (1960–1974),"25,192",932,27.0,"9,016",n/a,"7,160"
23,Patrick Ewing*,C,New York Knicks (1985–2000)Seattle SuperSonics (2000–2001)Orlando Magic (2001–2002),"24,815","1,183",21.0,"9,702",19,"5,392"
24,Kevin Durant^,SF,Seattle SuperSonics/Oklahoma City Thunder (2007–2016)Golden State Warriors (2016–2019)Brooklyn Nets (2019–present),"24,536",907,27.1,"8,376","1,695","6,089"
25,Ray Allen*,SG,Milwaukee Bucks (1996–2003)Seattle SuperSonics (2003–2007)Boston Celtics (2007–2012)Miami Heat (2012–2014),"24,505","1,300",18.9,"8,567","2,973","4,398"
26,Allen Iverson*,SG/PG,"Philadelphia 76ers (1996–2006, 2009–2010)Denver Nuggets (2006–2008)Detroit Pistons (2008–2009)Memphis Grizzlies (2009)","24,368",914,26.7,"8,467","1,059","6,375"
27,Charles Barkley*,PF,Philadelphia 76ers (1984–1992)Phoenix Suns (1992–1996)Houston Rockets (1996–2000),"23,757","1,073",22.1,"8,435",538,"6,349"
28,Robert Parish*,C,Golden State Warriors (1976–1980)Boston Celtics (1980–1994)Charlotte Hornets (1994–1996)Chicago Bulls (1996–1997),"23,334","1,611",14.5,"9,614",0,"4,106"
29,Adrian Dantley*,SF,Buffalo Braves (1976–1977)Indiana Pacers (1977)Los Angeles Lakers (1977–1979)Utah Jazz (1979–1986)Detroit Pistons (1986–1989)Dallas Mavericks (1989–1990)Milwaukee Bucks (1991),"23,177",955,24.3,"8,169",7,"6,832"
30,Dwyane Wade†,SG,"Miami Heat (2003–2016, 2018–2019)Chicago Bulls (2016–2017) Cleveland Cavaliers (2017–2018)","23,165","1,054",22.0,"8,454",549,"5,708"
31,Elgin Baylor*,SF,Minneapolis/Los Angeles Lakers (1958–1971),"23,149",846,27.4,"8,693",n/a,"5,763"
32,James Harden^,SG,Oklahoma City Thunder (2009–2012)Houston Rockets (2012–2021)Brooklyn Nets (2021–present),"22,542",901,25,"6,655","2,506","6,726"
33,Russell Westbrook^,PG,Oklahoma City Thunder (2008–2019)Houston Rockets (2019–2020)Washington Wizards (2020–2021)Los Angeles Lakers (2021–present),"22,367",968,23.1,"7,964","1,097","5,342"
34,Clyde Drexler*,SG,Portland Trail Blazers (1983–1995)Houston Rockets (1995–1998),"22,195","1,086",20.4,"8,335",827,"4,698"
35,Gary Payton*,PG,Seattle SuperSonics (1990–2003)Milwaukee Bucks (2003)Los Angeles Lakers (2003–2004)Boston Celtics (2004–2005)Miami Heat (2005–2007),"21,813","1,335",16.3,"8,708","1,132","3,265"
36,Larry Bird*,SF/PF,Boston Celtics (1979–1992),"21,791",897,24.3,"8,591",649,"3,960"
37,Hal Greer*,SG/PG,Syracuse Nationals/Philadelphia 76ers (1958–1973),"21,586","1,122",19.2,"8,504",n/a,"4,578"
38,Walt Bellamy*,C,Chicago Packers/Zephyrs/Baltimore Bullets (1961–1965)New York Knicks (1965–1968)Detroit Pistons (1968–1970)Atlanta Hawks (1970–1974)New Orleans Jazz (1974),"20,941","1,043",20.1,"7,914",n/a,"5,113"
39,Pau Gasol†,C/PF,Memphis Grizzlies (2001–2008)Los Angeles Lakers (2008–2014)Chicago Bulls (2014–2016)San Antonio Spurs (2016–2019)Milwaukee Bucks (2019),"20,894","1,226",17.0,"7,980",179,"4,755"
40,Bob Pettit*,PF/C,Milwaukee/St. Louis Hawks (1954–1965),"20,880",792,26.4,"7,349",n/a,"6,182"
41,David Robinson*,C,San Antonio Spurs (1989–2003),"20,790",987,21.1,"7,365",25,"6,035"
42,George Gervin*,SG/SF,San Antonio Spurs (1976–1985)Chicago Bulls (1985–1986),"20,708",791,26.2,"8,045",77,"4,541"
43,Mitch Richmond*,SG,Golden State Warriors (1988–1991)Sacramento Kings (1991–1998)Washington Wizards (1999–2001)Los Angeles Lakers (2001–2002),"20,497",976,21.0,"7,305","1,326","4,561"
44,Joe Johnson§,SG/SF,Boston Celtics (2001–2002)Phoenix Suns (2002–2005)Atlanta Hawks (2005–2012)Brooklyn Nets (2012–2016)Miami Heat (2016)Utah Jazz (2016–2018)Houston Rockets (2018),"20,405","1,276",16.0,"7,822","1,978","2,783"
45,Chris Paul^,PG,New Orleans Hornets (2005–2011)Los Angeles Clippers (2011–2017)Houston Rockets (2017–2019)Oklahoma City Thunder (2019–2020)Phoenix Suns (2020–present),"20,328","1,114",18.2,"7,160","1,506","4,502"
46,LaMarcus Aldridge^,PF/C,Portland Trail Blazers (2006–2015)San Antonio Spurs (2015–2021)Brooklyn Nets (2021–present),"20,270","1,052",19.3,"8,197",223,"3,653"
47,Tom Chambers,PF,San Diego Clippers (1981–1983)Seattle SuperSonics (1983–1988)Phoenix Suns (1988–1993)Utah Jazz (1993–1995)Charlotte Hornets (1997)Philadelphia 76ers (1997),"20,049","1,107",18.1,"7,378",227,"5,066"
48,Antawn Jamison,PF/SF,Golden State Warriors (1999–2003)Dallas Mavericks (2003–2004)Washington Wizards (2004–2010)Cleveland Cavaliers (2010–2012)Los Angeles Lakers (2012–2013)Los Angeles Clippers (2013–2014),"20,042","1,083",18.5,"7,679","1,163","3,521"
49,John Stockton*,PG,Utah Jazz (1984–2003),"19,711","1,504",13.1,"7,039",845,"4,788"
50,Bernard King*,SF,"New Jersey Nets (1977–1979, 1993)Utah Jazz (1979)Golden State Warriors (1980–1982)New York Knicks (1982–1985, 1987)Washington Bullets (1987–1991)","19,655",874,22.5,"7,830",23,"3,972"
